Box,72.0,266.0,255.0,16.0,70.0,18.0
Box,103.0,272.0,256.0,16.0,57.0,24.0
Box,133.0,272.0,255.0,16.0,57.0,20.0
Box,163.0,287.0,255.0,16.0,28.0,18.0
Box,193.0,279.0,255.0,16.0,47.0,20.0
Box,279.0,271.0,255.0,17.0,64.0,11.0
Box,343.0,272.0,255.0,16.0,62.0,19.0
Box,419.0,272.0,255.0,17.0,62.0,20.0
Box,447.0,293.0,255.0,32.0,15.0,20.0
Box,464.0,272.0,255.0,25.5,62.0,19.0
Box,494.5,278.0,256.0,12.03125,46.0,24.0
Box,577.5,267.0,255.0,10.0,67.0,20.0
Box,608.5,272.0,255.0,8.578125,57.0,20.0
Box,643.5,276.0,256.0,13.3125,53.0,16.0
Box,772.0,272.0,255.0,32.3125,62.0,20.0
Box,803.0,271.0,255.0,11.65625,64.0,11.0
Box,867.5,289.0,256.0,12.8125,23.0,24.0
Box,497.0,273.0,255.0,30.5625,61.0,20.0
Box,943.5,272.0,255.0,11.125,62.0,19.0
Box,976.5,272.0,255.0,8.3125,62.0,19.0
Box,1006.0,282.0,255.0,9.5,42.0,20.0
Box,498.0,266.0,255.0,28.0,70.0,18.0
Box,1114.5,287.0,255.0,9.09375,28.0,18.0
Box,1177.5,269.0,255.0,11.9375,68.0,20.0
Box,1205.0,272.0,255.0,10.25,62.0,20.0
Box,1281.5,278.0,255.0,11.125,50.0,19.0
Box,1312.5,266.0,255.0,12.0,70.0,18.0
Box,1345.5,293.0,255.0,25.75,15.0,20.0
Box,1374.0,293.0,255.0,7.84375,15.0,18.0
Shelf,133.0,256.0,255.0,161.0,94.0,49.0
Shelf,305.0,256.0,255.0,161.0,94.0,49.0
Shelf,476.5,256.0,255.0,161.0,94.0,49.0
Shelf,647.5,255.0,255.0,161.0,92.0,49.0
Shelf,818.5,255.0,255.0,161.0,92.0,49.0
Shelf,989.5,257.0,255.0,161.0,94.0,49.0
Shelf,1160.5,266.0,255.0,161.0,70.0,18.0
Shelf,1331.5,255.0,255.0,161.0,92.0,49.0
