Box,102.0,255.0,75.0,16.0,19.0,61.0
Box,133.0,255.0,98.0,16.0,20.0,15.0
Box,164.0,255.0,77.0,16.0,20.0,57.0
Box,195.0,255.0,77.0,16.0,18.0,57.0
Box,244.0,255.0,70.0,16.0,19.0,71.0
Box,306.0,255.0,88.0,16.0,21.0,36.0
Box,336.0,256.0,71.0,16.0,16.0,68.0
Box,366.0,256.0,74.0,15.0,16.0,63.0
Box,470.5,255.0,97.0,16.0,20.0,14.0
Box,499.0,255.0,75.0,16.0,20.0,57.0
Box,509.0,255.0,75.0,15.0,20.0,57.0
Shelf,133.0,255.0,66.0,161.0,49.0,79.0
Shelf,306.0,255.0,66.0,163.0,49.0,79.0
Shelf,479.0,255.0,66.0,163.0,49.0,79.0
